"clinic_name","doctify_profile_url","website_url","location","specialty_tags","specialist_count","review_count","contact_email","phone","doctify_about","cqc_location_id","cqc_registered_manager","cqc_nominated_individual","cqc_match_confidence","decision_maker_email","decision_maker_name_matched","decision_maker_email_source","decision_maker_email_confidence","decision_maker_email_verified","doctify_email","doctify_specialist_slug","clinic_summary","relevant_services","key_people","code_score","salutation_name","judge_approved","judge_reason","auto_send_eligible","gmail_draft_id","fit_score","fit_reason","best_sales_angle","possible_objection","filter_reason","tailored_line","suggested_subject","suggested_email_body","status","error","email_sent_date","email_thread_id","followup_draft_id","followup_status"
"Lister Fertility Clinic at The Portland Hospital","https://www.doctify.com/uk/practice/lister-fertility-clinic-at-the-portland-hospital","https://www.hcahealthcare.co.uk/locations/hospitals/the-portland-hospital/lister-fertility-clinic-at-the-portland-hospital","London, W1W 5PN","Fertility Medicine; Obstetrics & Gynaecology","6","46","LFCportland@hcahealthcare.co.uk","","The Lister Fertility Clinic, one of the most successful private fertility treatment centres in the UK, now provides its exceptional services at The Portland Hospital - the UK's only private hospital exclusively providing care for women and children.  Led by Consultant Gynaecologist and Fertility Specialist Mr Rehan Salim, all of the doctors at The Lister Fertility Clinic have a wide range of experience in managing all aspects of reproductive health, fertility treatment and assisted reproduction for those with problems conceiving. The team consists of only GMC accredited subspecialists, with some holding senior positions in London's leading teaching hospitals. The services offered at The Portland Hospital location include the following:  Patients have access to their own consultant who is in charge of planning and leading their care. Patients also have access to a wider team of highly qualified nurses, doctors and embryologists.  At the Lister Fertility Clinic at The Portland Hospital, both couples undergoing treatment for the first time and patients with more complicated patients are guaranteed to receive world-class individualised treatments, specific for their fertility needs.  Patients describe staff and clinicians at Lister Fertility Clinic at The Portland Hospital as kind, professional, supportive, and caring. Reviews highlight excellent patient care, noting procedures like In-Vitro Fertilisation and Egg Freezing are smooth and efficient. The clinic environment, described as warm, welcoming, and organised, provides a comfortable experience. Patients praise the support for fertility treatment journeys and positive outcomes.  I had an ultrasound scan with Kate, the Lead Sonographer and a blood test on the same day and I had a very positive experience with all of the medical staff and the clinic staff. All were incredibly warm, professional and communicative. I felt very reassured about my decision to come to this clinic - would highly recommend.","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"The Evewell - Harley Street","https://www.doctify.com/uk/practice/the-evewell","https://www.evewell.com/","London, W1G 8QU","Fertility Medicine; Gynaecology; Laparoscopic (Key-Hole) Surgery; Obstetrics & Gynaecology; Reproductive Medicine; Sexual & Reproductive Health","3","66","info@evewell.com","","The Evewell is a fully integrated fertility and gynaecology clinic, dedicated to all aspects of fertility treatment and medical excellence.  We're experts in our field, and all our consultants offer the unique combination of both gynaecology and fertility, meaning we understand the female body – completely, whilst also ensuring male fertility is considered at the very start of every treatment plan.  We take the time to understand what both your current situation is, and what your future plans are, giving you the best possible chance of building a family, when you're ready.  Treatment is considered holistically, and each patient has a personalised plan designed around their fertility history and current  The Evewell Harley Street and West London centres are equipped with the latest technologies for screening and treatment. Warm and luxurious, and carefully designed to create a calm, inclusive and welcoming experience, our ‘best in class' clinics have been equipped with the latest technologies in reproductive science, so your entire fertility journey is managed on one site.  Patients describe staff at The Evewell - Harley Street as friendly, professional, helpful, and welcoming. Reviews highlight a clean, modern clinic with excellent facilities, offering key fertility treatments like IVF and egg freezing. Clear information and tailored support are valued throughout the fertility journey, creating a comfortable experience. The practice shows strong expertise in fertility services, with IVF and egg collections being key.","1-5683444482","Mrs Chloe Margaret Worthy Darnley","Ms Trudi Campbell","fuzzy","","","","","","","NOT_FOUND","","","","","Ms Trudi Campbell","","","","","","","","","","","","","unknown","","","","",""
"IVF Matters Fertility Clinic","https://www.doctify.com/uk/practice/ivf-matters-online-clinic","https://www.ivfmatters.co.uk/","London, W1G 9PF","Fertility Medicine","2","124","support@ivfmatters.co.uk","","IVF Matters is the UK's trusted private fertility clinic. Our experts are available at Harley Street, London and online.  We provide high-quality, affordable, and easily accessible fertility care. You can consult specialists in all fields of fertility specialism. These include Fertility, Andrology, Endocrinology, Genetics, Counselling, Nutrition, and Weight Management.  The IVF Matters team can organise laboratory tests across the UK and ultrasound scans at over 80 locations nationwide through our local providers.  Fertility treatment is provided at a state-of-the-art fertility clinic in Marylebone, London.","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Lister Hospital, part of HCA Healthcare UK","https://www.doctify.com/uk/practice/the-lister-hospital","https://www.hcahealthcare.co.uk/request-an-appointment?Facility=1a5c5da944a44984ace7bf7529aa5b83","London, SW1W 8RH","Orthopaedic Surgery; Cardiology; Cardiothoracic Surgery; Fertility Medicine; Gastroenterology; General Surgery; Haematology; Neurology; Neurosurgery; Obstetrics & Gynaecology; Oncology; Sexual & Reproductive Health; Sports & Exercise Medicine; Urology","","2071","","+442077307733","","1-126955884","Mrs Janene May Madden","Mr John Reay","fuzzy","","","","","","","NOT_FOUND","","","","","Mr John Reay","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"Avenues","https://www.doctify.com/uk/practice/avenues","https://www.avenues.life/","London, NW1 1AA","Obstetrics & Gynaecology; Fertility Medicine; Urology","4","73","avenues@avenues.life","+442045801500","Avenues is a beacon of hope for individuals and couples navigating the intricate landscape of fertility and reproductive care. At Avenues, cutting-edge AI technology merges with compassionate expertise to empower patients on their journey towards parenthood. We understand the emotional toll of fertility struggles and offer unwavering support and guidance.  Led by a team of hand picked physicians and scientists, Avenues is dedicated to pioneering advancements in fertility research and treatment. With a commitment to staying at the forefront of the field, we proudly provide a comprehensive range of services, including fertility assessment, advanced treatments such as IUI, IVF, and ICSI, as well as embryo screening and donation services.  Our team recognises that every fertility journey is unique, and we prioritise personalised care that honour each patients’ individual path. From fertility preservation options like egg and sperm freezing to inclusive family building and supportive services like counselling, acupuncture, and fitness, we ensure a tailored experience to all our patients needs.  Step into Avenues, where we empower patients in their reproductive journey, and guide them towards the fulfilling realisation of their dreams of starting or expanding their family.  Patients describe the staff and clinicians at Avenues as friendly, professional, and supportive. The clinic is modern, clean, and welcoming, with advanced facilities creating a calm, comfortable experience. Avenues provides personalised, exceptional care for procedures like In-Vitro Fertilisation. Patients often report positive outcomes, highly recommending Avenues for its comprehensive fertility support.  I had an fantastic experience at this clinic with Doctor Montserrat Duran she was amazing and honestly the most sweetest doctor I have met she made me feel welcome and was very helpful with all the information provided she felt like a family member rather than a professional very grateful to this doctor sending love and prayers your way always x x","1-18765682187","Dr Cristina Fontes Lindemann Hickman","Dr Cristina Fontes Lindemann Hickman","exact","","","","","","","NOT_FOUND","","","","","Dr Cristina Fontes Lindemann Hickman","","","","","","","","","","","","","unknown","","","","",""
"Sainsbury Wing or Wolfson Fertility Centre at Hammersmith Hospital","https://www.doctify.com/uk/practice/robert-lisa-sainsbury-wing-hammersmith-hospital","","London, W12 0HS","Haematology; Cardiology; Dermatology; Endocrinology & Diabetes; Fertility Medicine; Gastroenterology; Obstetrics & Gynaecology; Renal Medicine (Nephrology); Respiratory Medicine; Rheumatology; Vascular Surgery","75","562","imperial.private.healthcare@nhs.net","","Robert & Lisa Sainsbury Wing, Du Cane Road, London, United Kingdom, W12 0HS  Robert & Lisa Sainsbury Wing, Du Cane Road, London, United Kingdom, W12 0HS  The Sainsbury Wing is a dedicated private facility within Hammersmith Hospital.  The hospital specialises in cardiology, cardiothoracic surgery, gynaecology, haematology, kidney and liver conditions and general clinical services. It is renowned for world-class consultants, one of the most advanced cardiac units in the UK, and clinical research which ensures patients receive the highest standards of care.  Hammersmith Hospital has a reputation as one of the best in the world for a variety of acute conditions. It has a long history of clinical excellence. Services are continually developed to represent the most innovative practices in treating kidney conditions and cancer patient care. It is also one of the foremost cancer centres in the country, with one of the highest trial recruitment rates over the whole range of treatments.  The Sainsbury Wing offers private en suite rooms for inpatient and day care, centrally monitored private cardiac beds, as well as outpatient facilities and a dedicated haematology chemotherapy suite.","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
"The Lister Fertility Clinic","https://www.doctify.com/uk/practice/the-lister-fertility-clinic","https://www.hcahealthcare.co.uk/our-services/specialties/fertility-and-reproductive-medicine?utm_source=listerfertility.co.uk\u0026utm_medium=301","London, SW1W 8RH","Fertility Medicine","14","244","info@lfclinic.com","","The Lister Fertility Clinic, The Lister Hospital,, London, United Kingdom, SW1W 8RH  The Lister Fertility Clinic, The Lister Hospital,, London, United Kingdom, SW1W 8RH  The Lister Fertility Clinic is one of the most successful private fertility treatment centres in the UK.  All of the doctors at The Lister Fertility Clinic have a wide range of experience in managing all aspects of reproductive health, fertility treatment and assisted reproduction for those with problems conceiving.  Even if the patient is a couple undergoing treatment for the first time, or one of the more complicated cases that we specialise in, patients will be assessed for their particular history and will receive individualised treatment according to the patients specific fertility needs.  The Lister Fertility Clinic, The Lister Hospital,, London, United Kingdom, SW1W 8RH","1-126955884","Mrs Janene May Madden","Mr John Reay","fuzzy","","","","","","MrRamsayPA@hcahealthcare.co.uk","mr-jonathan-ramsay","","","","","Mr John Reay","","","","","","","","","","","","","unknown","","","","",""
"Guy’s Assisted Conception Unit","https://www.doctify.com/uk/practice/guys-and-st-thomas-assisted-conception-unit","https://guysandstthomasprivatehealthcare.co.uk/","London, SE1 9RT","Fertility Medicine; Obstetrics & Gynaecology; Sexual & Reproductive Health","6","176","gstt.ppfertilitynewenquiries@nhs.net","+442071883077","Our specialists at Guy’s Assisted Conception Unit have been advancing fertility medicine for over 30 years . We are internationally renowned as pioneers in this field and care for over 2,000 patients each year.  We offer the full range of fertility care, including assisted conception (IVF, ICSI and IUI), fertility preservation (embryo and sperm storage), embryo selection and implantation, and pre- implantation genetic testing (PGT). We only draw on precise, evidence-based approaches to best support our patients with personalised care and never offer fertility treatment ‘add-ons’, unlike other providers.","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Global Fertility Clinic","https://www.doctify.com/uk/practice/the-global-fertility-clinic","","London, W1G 7HN","Fertility Medicine","1","10","teams@theglobalfertility.com","","The Global Fertility Clinic at 82 Harley Street London W1G 7HN led by Dr Jyoti Taneja FRCOG DCSRH , provides specialist fertility care for individuals and couples of all genders, with expertise in managing complex reproductive health cases. The clinic focuses on the diagnosis and management of recurrent miscarriage, implantation failure, reproductive immunology concerns, and male infertility, using an evidence-based approach.  Based in London, Dr Jyoti Taneja offers international fertility consultations through a secure telehealth model, supporting patients worldwide, with a particular focus on those based in Dubai and India. This approach allows patients to access specialist ferti1lity advice regardless of their location.  All consultations online/ in clinic are suitable for patients undergoing investigations, planning treatment, or seeking a detailed second opinion. Appointments include a thorough review of relevant medical records and 3D Specialist scanning to ensure informed and personalised guidance.  Consultations are charged on an hourly basis. A complimentary 15-minute introductory call is available to discuss the case and confirm the most appropriate next steps.  I  had an excellent experience with clinic from start to finish. The entire team was professional, caring, and supportive throughout our journey.  A special thank you to Dr. Jyoti, who is an exceptional gynecologist. She was compassionate, patient, and always took the time to explain every step clearly. Her professionalism and kindness made us feel comfortable and confident during a very emotional process.  I am truly grateful for all the care and support we received and would highly recommend this clinic and Dr. Jyoti to anyone .  Choosing The Global Fertility Clinic was one of the most meaningful decisions I have ever made. Dr. Jyoti fostered a warm and compassionate environment, and her unwavering support truly meant the world to me throughout my journey. Thank you","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","","","","","unknown","","","","",""
"The Lindo Wing at St Mary’s Hospital","https://www.doctify.com/uk/practice/lindo-wing-st-marys-hospital","","London, W2 1NY","Respiratory Medicine; Vascular Surgery; Endocrinology & Diabetes; Haematology; Obstetrics & Gynaecology; Allergy Medicine; Breast Surgery; Dermatology; Diagnostics & Testing; Ear Nose & Throat Surgery (ENT/Otolaryngology); Gastroenterology; General (Internal) Medicine; General Practice (GP); General Surgery; Maternal & Foetal Medicine; Medical Weight Loss; Neurosurgery; Obstetric Medicine; Orthopaedic Surgery; Paediatrics; Plastic Surgery; Radiology; Rheumatology; Urology; Weight Loss & Bariatric Surgery; Women's Health","127","1215","imperial.private.healthcare@nhs.net","","The Lindo Wing at St Mary's Hospital offers high quality levels of care for surgical, medical and maternity patients.  With over 60 years' experience in maternity, and generations of families returning, they are a trusted leader in obstetric care. St Mary's Hospital can provide both neonatal services and critical care facilities, making Imperial College Healthcare Private Care able to support all pregnancies and deliveries, no matter how complex.  As well as our world-renowned maternity services, the unit also offers a range of routine and complex surgeries including trauma, weight loss, vascular, gynaecology, urology, ear, nose and throat, and general surgery.","NOT_FOUND","","","","","","","","","","","","","","","","","","","","","","","","hospital/NHS: ""hospital""","","","","pre_filtered","","","","",""
