clinic,rating,review,evidence_quote,primary_label,secondary_labels,patient_stage,automation_tier,product_surface,root_cause,severity,commercial_relevance
The Evewell - Harley Street,1,"I found The Evewell disorganised, chaotic, and worryingly unresponsive. Nurses frequently sent urgent instructions at the end of the day, making it impossible to clarify errors or ask questions. On one occasion, I was prescribed hormone patches they already knew I was allergic to. I had to use one a",Nurses frequently sent urgent instructions at the end of the day,treatment_coordination,complaint_handling,treatment,human_assisted,patient_pathway_coordinator,no proactive update,5,5
The Evewell - Harley Street,1,"Disappointing experience. Many of the doctors that work there are not on the Specialist Register.  The admin staff take ages to return emails, the phone is never answered and voicemails are not returned.  I booked a 'starter phone consult' and this was not attended by Evewell.  As it stands the clin",The phone is never answered and voicemails are not returned,inbound_access,complaint_handling,enquiry,bot_solvable,inbound_manager,no response SLA,5,5
The Evewell - Harley Street,1,"I’m beyond upset by my treatment. I have experienced multiple miscarriages and came to the the clinic for a specific consultant Dr Dimitri. After parting with a good amount  of cash, for blood tests and medication to take I then get a very …",I have experienced multiple miscarriages,treatment_coordination,financial_transparency,treatment,human_assisted,patient_pathway_coordinator,no proactive update,5,5
The Evewell - Harley Street,1,"I have been a patient at the Evewell since 2018. I feel it’s really been a downhill process over the years and have experienced a change there. Things are often missed out, double bloods ordered, incorrect invoicing but the worst is forgetting to send the right prescriptions. The latter is particula",forgetting to send the right prescriptions,admin_records,financial_transparency,treatment,workflow_solvable,booking_ops_layer,missed prescriptions and incorrect invoicing,5,5
The Evewell - Harley Street,1,"3 years later and I still have ptsd from this place. Money hungry people. Will push random things you don’t need on you I.E in my case icsi, just  for extra money no actual science behind it. Unsuccessful, so many extra costs, have to do paperwork twice as poor admin loses them. There is no bespoke",Will push random things you don’t need on you,financial_transparency,admin_records,treatment,human_assisted,financial_consent_flow,hidden add-ons,5,5
The Evewell - Harley Street,1,"The worst clinic I've ever seen! Extremely rude! The doctor made me feel extremely uncomfortable every time, only cared about money. Was unorganised too as they lost my blood results which was inconvenient. The first time you go for your consultation, they're nice to you. Once they get your money, t",they don't care anymore,complaint_handling,financial_transparency,complaint,workflow_solvable,complaint_triage_monitor,no response SLA,5,5
Assisted Reproduction & Gynaecology Centre,1,"I am sad to leave this review after many years at ARGC. I will start by saying that the admin staff and nurses are amazing. Unfortunately the doctors are so disorganised and frantic that no one knows who you are ever, and this leads to serious problems. ARGC put my health completely at risk (then jo",I lodged a complaint with them,complaint_handling,not_automatable,complaint,human_assisted,complaint_triage_monitor,no response,5,5
Assisted Reproduction & Gynaecology Centre,1,Do dot use this clinic for IVF! Their treatments are extreme and dangerous. My wife was recommended unnecessary procedures at the wrong time which were evidently only being suggested so that could charge us more money. She was not warned of …,My wife was recommended unnecessary procedures,financial_transparency,not_automatable,treatment,not_solvable,financial_consent_flow,hidden add-ons,5,5
Assisted Reproduction & Gynaecology Centre,1,I'm really very surprised by any of the positive reviews I've read on this site. Our experience at ARGC was so awful. Someone wrote here that it feels like they are selling hope. That's exactly how we found it. The place is hugely overcrowded and so so shabby. We were ushered in from one test to the,Each time we went through the door,financial_transparency,not_automatable,treatment,not_solvable,financial_consent_flow,hidden costs,5,5
Assisted Reproduction & Gynaecology Centre,1,"The lack of follow up after a traumatic round of treatment which ended up with the hospitalisation of my wife, who had severe OHSS from an egg collection, is disgusting. Complete negligence from the staff at the time - they should have …",lack of follow up after traumatic treatment,post_treatment_followup,complaint_handling,post_treatment,human_assisted,patient_pathway_coordinator,no aftercare protocol,5,5
Assisted Reproduction & Gynaecology Centre,1,"ARGC is one of the worst clinics in the U.K. I froze my eggs with them in 2016, got 19 in total, I thought I had preserved my fertility. However in 2020, when I wanted to use my frozen eggs, Dr Sapna continued to insist we should do a fresh cycle, which made no sense to given we I had eggs saved fro",lost 17/19 eggs while thawing,treatment_coordination,complaint_handling,treatment,human_assisted,patient_pathway_coordinator,protocol deviation,5,5
Assisted Reproduction & Gynaecology Centre,1,"Terrible experience! Trust me when I say, do not use this company. Communication is terrible, service is terrible, constantly being told different things by different people. At so many occasions we were let down. We are currently in the process of communicating with the ombudsman. Please beware","Communication is terrible, service is terrible",complaint_handling,treatment_coordination,complaint,workflow_solvable,complaint_triage_monitor,poor communication and inconsistency,5,5
Create Fertility - St. Paul's,1,Very poor service with hidden charges that they don't mention on their website such as having to pay to travel to Spain and PAYG medications for donors. I left there wondering if they are scammers so will be contacting the authorities.,hidden charges that they don't mention,financial_transparency,,billing,workflow_solvable,financial_consent_flow,hidden add-ons,5,5
Create Fertility - St. Paul's,1,Would strongly recommend anyone considering going with Create London to avoid. I can't emphasise enough how poor the communication and service was. I had a positive pregnancy test result but the nurse I spoke to didn't bother to tell me …,didn't bother to tell me,results_delivery,treatment_coordination,treatment,workflow_solvable,patient_pathway_coordinator,no proactive update,5,5
Create Fertility - St. Paul's,1,"The website says they help women above 40 to use their own eggs.  The so-called modified IVF plan that they have is for women above 40 with low ovarian reserve.   This is a downright lie, and misleading for women above 40.  I am above 40 …",website says they help women,pre_visit_information,financial_transparency,pre_enquiry,workflow_solvable,financial_consent_flow,misleading information,5,5
Create Fertility - St. Paul's,1,"All of good reviews are fake, they only care of taking your money not your mental health and emotions, they always apply low doses to get few number of eggs unless I had to many follicles but they want you to repeat the process two or three …",apply low doses to get few,financial_transparency,not_automatable,treatment,workflow_solvable,financial_consent_flow,hidden costs,5,5
Create Fertility - St. Paul's,1,"If you can find a different clinic, please choose that instead of CREATE. I have had the worst experience with the clinic at St.Paul's. Mentally really exhausted and cannot think of doing any private treatment because of it. Every time I think of the experience, it gives me heart palpitations. It wa",still waiting to receive the call about the refund,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,no refund process,5,5
Create Fertility - St. Paul's,1,"Absoultely appalling service.  Two rounds of ivf, absoultely no communication between us and the staff at all. Patient coordinator was useless. We are still waiting on a refund from over 6 months ago.  We have never felt so helpless about having a child as we have done with them and they do not have",still waiting on a refund from over 6 months ago,complaint_handling,financial_transparency,complaint,workflow_solvable,complaint_triage_monitor,no refund process,5,5
Create Fertility - St. Paul's,1,"On a round of FET, a cyst was discovered from a bad cocktail of drugs (so much for low dosage), it was obvious it was because of the drugs but the course proceeded for another week where the cyst got bigger with more drugs. The cycle was eventually abandoned and within hours, was sent a bill for “ab",sent a bill for abandoned cycle fee,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,hidden fees,5,5
Create Fertility - St. Paul's,1,"Absolutely appalling. Different Dr’s every time. Changing doses every time. The administration of my care is worse than non existent. When they try they get it completely wrong. I’m still waiting since April for an outcome for a decision on a refund as they messed up my protocol, the only message I’",still waiting since April for an outcome,complaint_handling,financial_transparency,complaint,workflow_solvable,complaint_triage_monitor,no refund process,5,5
Create Fertility - St. Paul's,1,"One word for their service: MESS. What a mess!!!! The staff is so confused and confusing that everything seems out of its place. The way they make money is due to desperation of couple in getting a child, and they charge you separately for every sing thing, gigantic amount for a cycle that you belie",charge you separately,financial_transparency,admin_records,billing,workflow_solvable,financial_consent_flow,hidden add-ons,5,5
Create Fertility - St. Paul's,1,All they after is money they dont care about their patiants you will not see same doctor evary appoinment is defferent doctor. But what is the worst in my case i had polpy in the uterus they sow it my first …,different doctor every appointment,treatment_coordination,financial_transparency,treatment,workflow_solvable,patient_pathway_coordinator,no ownership,5,5
Create Fertility - St. Paul's,1,"A very rubbish clinic with irresponsible management. They will only press you for money and will not deal with the problem. If you want to throw money away, you can go to them.",press you for money,financial_transparency,not_automatable,billing,workflow_solvable,financial_consent_flow,hidden charges,5,5
Create Fertility - St. Paul's,1,I went for three mild IVF cycle.Keep changing doctor every time I visited the doctor. Wrong diagnosed and gave wrong protocols with the negative result at the end. Very disappointed and heartbroken. Please avoid.,wrong protocols,treatment_coordination,not_automatable,treatment,not_solvable,out_of_scope,wrong diagnosis,5,5
Create Fertility - St. Paul's,1,Am so upset and disappointed in this clinic  they just want money they don’t care about you or you getting pregnant please don’t go there,just want money,financial_transparency,not_automatable,billing,workflow_solvable,financial_consent_flow,hidden charges,5,5
Create Fertility - St. Paul's,1,"⭐️ 1 Star  I would strongly urge anyone considering CREATE Fertility to think very carefully before proceeding.  Our experience has been characterised by poor communication, a complete lack of coordination between departments, and a level of patient care that has steadily deteriorated over time.  We",complete lack of coordination between departments,treatment_coordination,complaint_handling,treatment,workflow_solvable,patient_pathway_coordinator,lack of coordination between departments,5,5
Create Fertility - St. Paul's,1,"Create Fertility have sent me a full patient records of someone else (including IDs, scans, tests, transfer info etc...) while I am still waiting for a number of missing records for myself. I have emailed them back, but no-one is responding …",sent me a full patient records of someone else,admin_records,complaint_handling,complaint,workflow_solvable,complaint_triage_monitor,data breach and no response,5,5
Create Fertility - St. Paul's,1,"We purchased three IVF cycles based on the advertised price, but ended up paying nearly double due to constant extra charges—especially for scans.  Communication and care were very poor. On the day of egg collection, we were suddenly asked about freezing embryos, something no one had properly discus",ended up paying nearly double due to constant extra charges,financial_transparency,treatment_coordination,treatment,workflow_solvable,financial_consent_flow,hidden charges and lack of guidance,5,5
Create Fertility - St. Paul's,2,"Took a long time to get over the bad treatment I received by the staff (non doctors) at this clinic. Rude, unkind and unprofessional. They treat you like you're a burden to them although the cost is not that cheap. Avoid this clinic!!","Rude, unkind and unprofessional",complaint_handling,not_automatable,complaint,human_assisted,complaint_triage_monitor,no response SLA,5,5
Create Fertility - St. Paul's,2,We had failed IVF. We had 2 transfers and both came negative. The reason is that the staff does not even have the common sense to do semen analysis before the treatment. They did blood tests of my wife but no semen analysis for me. Later I came to know that they want to charge extra £1000 for ICSI b,no semen analysis for me,treatment_coordination,financial_transparency,treatment,workflow_solvable,patient_pathway_coordinator,no proactive update,5,5
Avenues,1,"Clinic lacks transparency, accountability and management. They failed to make me aware that they freeze FOUR eggs per straw and that you will have you pay for additional straws used. They convinently told me this AFTER paying for an initial consultation of £210. I have had consultation with 3 clinic",failed to make me aware that they freeze FOUR eggs per straw,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,hidden add-ons,5,5
Avenues,1,"After care was horrible - they left us in the ditch after the first cycle. After a negative test we weren’t given any appointments and had to make endless calls just to get another consult. By that time we had already missed the period for another transfer. Everything before was fine, great service.",left us in the ditch after the first cycle,post_treatment_followup,inbound_access,post_treatment,workflow_solvable,patient_pathway_coordinator,no aftercare,5,5
Avenues,1,"DO NOT USE THIS CLINIC. They took a £499 deposit from me for treatment, then they cancelled the appointment with less than a day’s notice and have failed to refund the money in spite of me asking repeatedly in writing and on the phone  over the course of a month. Starting court proceedings to recove",failed to refund the money,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,no refund process,5,5
The Fertility Academy,1,"very disappointed after a series of expensive tests, they gave me a medication that was not suitable for me, which other doctors have confirmed, they do not explain why they are giving you the medication and what effects it has. I paid a significant amount of money for nothing . Avoid it please",they gave me a medication that was not suitable for me,treatment_coordination,financial_transparency,treatment,human_assisted,patient_pathway_coordinator,no proactive update,5,5
Harley Street Gynaecology,1,"The experience I had at Harley Street Gynaecology was horrendous. I booked with Mr Khan a) because of the reviews the clinic has and b) because when booking into a clinic on Harley Street, one would expect the best care. What I can't understand is how the reviews describe Mr Khan as unhurried, frien",Mr Khan gave me an incorrect prescription,treatment_coordination,financial_transparency,treatment,human_assisted,patient_pathway_coordinator,incorrect prescription dosage,5,5
Harley Street Gynaecology,1,Very bad experience at this clinic and felt ripped off and intimidated.,felt ripped off and intimidated,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,lack of transparency and intimidation,5,5
The Lister Fertility Clinic,1,"My experience at Lister Fertility Clinic was one of repeated disappointment, mismanagement, and emotional distress—this review only touches the surface.  Despite giving the clinic multiple chances, I was repeatedly let down. It’s deeply upsetting to admit how vulnerable I was—trusting them not once,",left feeling foolish for placing trust,treatment_coordination,complaint_handling,treatment,human_assisted,patient_pathway_coordinator,lack of patient care,5,5
The Lister Fertility Clinic,1,"I was referred to this clinic by my oncologist for egg freezing, the experience so far has been quite disappointing. I’m a 25 years old woman who’s been diagnosed with breast cancer 2 months ago and already gone through a mastectomy and …",experience so far has been quite disappointing,treatment_coordination,post_treatment_followup,treatment,human_assisted,patient_pathway_coordinator,poor patient care,5,5
The Lister Fertility Clinic,1,Absolutely terrible. It has taken me two years to recover emotionally when I ought to have done a second cycle there an then. I couldn't bear it because of the emotional trauma experienced by me owing to the complete and utter lack of professionalism from this clinic.  I had planned my entire life f,complete and utter lack of professionalism,treatment_coordination,post_treatment_followup,treatment,human_assisted,patient_pathway_coordinator,emotional trauma,5,5
The Lister Fertility Clinic,1,"My experience undergoing egg freezing at this clinic was deeply troubling and has had lasting emotional and physical consequences. There were serious concerns in the egg collection procedure and the consent process, which I believe amounted …",serious concerns in the egg collection procedure,treatment_coordination,complaint_handling,treatment,human_assisted,patient_pathway_coordinator,poor consent process,5,5
The Lister Fertility Clinic,1,Two different consultants advised me of two different protocols and contradicted each other. I was out on the ‘short’ protocol and at my follow up was told that that doctor had ‘retired’ and that they wouldn’t have put me on short protocol. I wasn’t given any advice or treatment about other consider,Two different consultants advised me of two different protocols,treatment_coordination,complaint_handling,treatment,workflow_solvable,patient_pathway_coordinator,contradictory medical advice,5,5
The Lister Fertility Clinic,1,"All. I write to advise you to avoid Lister . avoid the head consultant James Nicopoullos. avoid Dr Marie Wren. But most importantly avoid Lister ! You need professional , attentive , consistent and premium treatment during ivf and our experience will show Lister do not care to provide this . We rece",failed to act on these paid for tests,treatment_coordination,complaint_handling,treatment,workflow_solvable,patient_pathway_coordinator,failure to act on test results,5,5
The Lister Fertility Clinic,1,"Awful experience at LFC from start to finish - waiting times appalling, duty of care from doctors negligent and management of egg collection cycle haphazard. Of the two collections I underwent, no eggs were collected at the first and just …",management of egg collection cycle haphazard,treatment_coordination,complaint_handling,treatment,workflow_solvable,patient_pathway_coordinator,haphazard cycle management,5,5
The Lister Fertility Clinic,1,"My wife went trough hell with them ...rushed process, blood tests lost, long waits, Rude staff ( not all, but enough ) .....just imagine that they all rely on luck and their success is measured in probabilities. The failure is also …","rushed process, blood tests lost",treatment_coordination,complaint_handling,treatment,human_assisted,patient_pathway_coordinator,poor continuity of care,5,5
The Lister Fertility Clinic,1,Zero stars if I could. Would not wish them on my worst enemy. Will make a complaint to HFEA.,Will make a complaint to HFEA,complaint_handling,,complaint,workflow_solvable,complaint_triage_monitor,no response SLA,5,5
The Lister Fertility Clinic,1,Absolutely awful. Dishonest and unprofessional. Worst than treatment at NHS. Don't believe what they try and sell you.,Dishonest and unprofessional,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,dishonest practices,5,5
The Lister Fertility Clinic,1,"Colossal data breach - I did egg removal and storage at the lister clinic, one of the most private and personal things I could do, something that I share with very few people and the lister clinic has informed me that they sent all my …",Colossal data breach,admin_records,,treatment,workflow_solvable,booking_ops_layer,data breach,5,5
The Lister Fertility Clinic,2,"We used this clinic last year and we were under dr james for ivf treatment, initial appointments blood tests and scans went well untill egg collection, but then everything else changed when we reached embroy stages because their was no eggs to transfer and we were gutted and heartbroken, but yet not",not been offered any help how to cope,treatment_coordination,complaint_handling,treatment,human_assisted,patient_pathway_coordinator,no aftercare,5,5
The Evewell - West London,1,"I am very disappointed with this clinic. We chose it because of the many positive reviews, but in reality, it turned out to be the worst experience. When we made the booking, the receptionist was helpful. However, after the initial consultation, they were not supportive at all. Their communication w",communication was vague,complaint_handling,treatment_coordination,complaint,human_assisted,complaint_triage_monitor,no clear treatment plans,5,5
London Women's Clinic - Harley Street,1,"Truly terrible customer service, particularly their payments team who are completely incompetent and have taken 3 unauthorised payments from me for one month of storage charge. They will hound you via email when they want something from you but when you need to speak to someone to rectify an issue t",taken 3 unauthorised payments,financial_transparency,complaint_handling,billing,workflow_solvable,financial_consent_flow,unauthorized payments,5,5
London Women's Clinic - Harley Street,1,DO NOT use the London Women's Clinic! We are absolutely disgusted with them. They lost our personal information (ID documents and blood test results); they called my partner by the wrong name in person and via email (how can we be sure this mix up of names didn’t happen in the laboratory?); they hav,lost our personal information,admin_records,financial_transparency,treatment,workflow_solvable,booking_ops_layer,data mismanagement,5,5
London Women's Clinic - Harley Street,1,"I had a bad experience in the darlington clinic recently my treatment didn't work I paid over £10k, I over stimulated the clinic did not care I felt bloated and in pain. There is no after care serivce not even a phone call to ask how am I coping, they only care about making money not making lives. I",no after care serivce not even a phone call,post_treatment_followup,complaint_handling,post_treatment,workflow_solvable,patient_pathway_coordinator,no aftercare service,5,5
London Women's Clinic - Harley Street,1,"Awful experience - they literally lead us down the garden path with a treatment that was not suitable at all. Having transferred to another clinic who have given us clear statistics about our situation, we would never have pursued the route …",lead us down the garden path with a treatment,pre_visit_information,,pre_visit,workflow_solvable,financial_consent_flow,misleading treatment options,5,5
London Women's Clinic - Harley Street,1,I would not recommend the Harley St branch of this clinic for those with suspected endometriosis. We were treated as unexplained infertility even though an endometrioma was found on my wife's ovary. The consultant said this did not mean …,treated as unexplained infertility,treatment_coordination,pre_visit_information,treatment,workflow_solvable,patient_pathway_coordinator,misdiagnosis,5,5
London Women's Clinic - Harley Street,1,"Unorganized and no cooperation between people. Everything you agreed and confirmed with one person another asked about again. They also didn't choose best quality embryo for transfer despite available ones, which resulted in early miscarriage.",no cooperation between people,treatment_coordination,not_automatable,treatment,human_assisted,patient_pathway_coordinator,poor coordination,5,5
London Women's Clinic - Harley Street,1,Terrible experience. Had been to the Bridge Centre for consultations but transferred here for collection. Big disappointment when collection was missed since they booked me too late. Even though they expected to be paid.,collection was missed since they booked me too late,appointment_management,treatment_coordination,treatment,workflow_solvable,booking_ops_layer,booking errors,5,5
London Women's Clinic - London Bridge,1,"I spent a long time thinking about whether to write this review, and then I realised - some people only have one chance and one pot of money... My Story: I began my fertility journey at LWC London Bridge. Everything seemed fine at first - I started the injections, followed the protocol, and was prep",eggs had already started releasing,treatment_coordination,complaint_handling,treatment,workflow_solvable,patient_pathway_coordinator,no proactive update,5,5
London Women's Clinic - London Bridge,1,"Urgent!!! PLEASE AVOID THIS CLINIC I've applied to be an egg donor for altruistic reasons. I wasn't aware the clinic makes a fortune selling donated eggs but well, it's a private clinic after all. I was greeted by the doctor who hugged me, told me what wonderful support they would give me and what a",clinic makes a fortune selling donated eggs,financial_transparency,complaint_handling,enquiry,human_assisted,financial_consent_flow,hidden add-ons,5,5
London Women's Clinic - London Bridge,1,"AVOID THIS CLINIC!! Please please please take the time to research clinics and read through the many 1 star reviews this company has received, you will notice common complaints and they are true, from experience I am sad to say. QUESTIONABLE ETHICS!! Where to even begin..... Communication from them",Communication from them...terrible,complaint_handling,not_automatable,complaint,human_assisted,complaint_triage_monitor,stonewalled,5,5
London Women's Clinic - London Bridge,1,"URGENT!!! This clinic is all about taking your money, I never saw my consultant after our first appointment even tho I was assured I would have him perform the transfer and I only found out in the day of transfer that he no longer worked for the clinic ! Alarn Bells started to ring!! And then I wasn",wasn’t given a blood test...they forgot,treatment_coordination,financial_transparency,treatment,workflow_solvable,patient_pathway_coordinator,no ownership,5,5
London Women's Clinic - London Bridge,1,"Avoid this practice if possible. My partner and i visited them on several occasions and i can safely say, our case was mishandled and we returned to  private NHS support at Guys Hospital. my partner was prescribed incorrect amounts of medicine, which we only discovered when collecting at local pharm",prescribed incorrect amounts of medicine,treatment_coordination,not_automatable,treatment,not_solvable,out_of_scope,clinical quality,5,5
London Women's Clinic - London Bridge,1,I had ivf in 2010.  When doctor transfer embryo in womb told me will show on the computer screen results. And never show. I think it was nothing to show. It's took him so long and I think something goes wrong. I would NOT RECOMMEND this The Bridge Centre,something goes wrong,treatment_coordination,not_automatable,treatment,not_solvable,out_of_scope,clinical quality,5,5
London Women's Clinic - London Bridge,1,Would not recommend for ivf Profit only clinic Left me bleeding after treatment with no after care had to go to an nhs hospital to get sorted,Left me bleeding after treatment with no after care,post_treatment_followup,treatment_coordination,post_treatment,workflow_solvable,patient_pathway_coordinator,no aftercare,5,5
Harley Street Fertility Clinic,1,"My husband and I both had tests done at HSFC, which was professional and we then had a video call to go through our results.  The results implied that my husband was infertile but at no point was it suggested we retake the tests or that there were any options other than IVF.  We subsequently went to",no retake suggested,treatment_coordination,results_delivery,treatment,human_assisted,patient_pathway_coordinator,no proactive update,5,5
Harley Street Fertility Clinic,1,"I am absolutely appalled by the disgraceful and negligent treatment my sister endured at this clinic. I was present for many of her phone interactions with the staff, and the experience has been nothing short of a nightmare. To make matters worse, the clinic responded to her recent review with blata",responded with lies,complaint_handling,not_automatable,complaint,human_assisted,complaint_triage_monitor,no ownership,5,5
Harley Street Fertility Clinic,1,Honestly...If i could give 0 stars i would. Where do i start.  This journey with HSFC has been short of a disaster. I could honestly fill up a a4 sheet of paper with complaints i have. Not once did i have …,fill up a4 sheet,complaint_handling,not_automatable,complaint,human_assisted,complaint_triage_monitor,no ownership,5,5
Harley Street Fertility Clinic,1,Only for money…..any emergency they won't respond 😢 …,any emergency they won't respond,inbound_access,,enquiry,bot_solvable,inbound_manager,no emergency response protocol,5,5
CRGH (The Centre for Reproductive and Genetic Health),1,The worst experience of any clinic I have been to. Challenges run from being sent multiple contradicting plans to being sent unexpected invoices the day before appointments and threatened with cancelling treatments if those invoices are not paid. From being sent private medical details of other pati,sent multiple contradicting plans,admin_records,financial_transparency,billing,workflow_solvable,booking_ops_layer,multiple contradicting plans,5,5
CRGH (The Centre for Reproductive and Genetic Health),1,"If i could give 0 starts I would. This place is awful and I seriously do not recommend for anyone. It has taken me 3 years to find the courage to write this review. They do not have any pre or after care. This place has left me mentally, emotionally and even physically distraught. First, they bruise",no support no explanation,post_treatment_followup,treatment_coordination,post_treatment,workflow_solvable,patient_pathway_coordinator,no aftercare,5,5
CRGH (The Centre for Reproductive and Genetic Health),1,Having done lots of research into private clinics we went with CRGH based on their strong statistics. We did 2 rounds of IVF and and IUI after being told that after our 2 cycles of IVf had failed there was nothing more that could be done. The consultant himself was very nice and professional and i g,felt let by the other staff,treatment_coordination,post_treatment_followup,treatment,workflow_solvable,patient_pathway_coordinator,lack of communication,5,5
