video_id,post_date_utc,post_datetime_utc,url,title,description,duration_sec,view_count,like_count,comment_count,share_count,save_count
7673890720347950366,2026-08-14,2026-08-14T14:15:49+00:00,https://www.tiktok.com/@drleewarren/video/7673890720347950366,Did you know that neuroscience and scripture agree that you do not ha...,"Did you know that neuroscience and scripture agree that you do not have to believe or act on every thought or feeling you have? Make this one move, and it will radically transform your life! I'm a neurosurgeon, but I'm also a trauma survivor and the father of a lost son. Throughout my career, and in my own life, the most helpful thing I've ever learned is that you can actually take command of what your mind and brain do when you experience, powerful and overwhelming thoughts and feelings. You don't have to be the hopeless, powerless patient who is waiting on someone to save you. You can make the patient – to– doctor switch, and modern neuroscience shows that your brain will almost immediately began to make structural changes to support your new, empowered position. You can take command of your physiology, improve your neurochemistry, be less anxious and overwhelmed. You can develop a purposeful approach to how you navigate your emotions, decisions, and your whole life. We call it self-brain surgery, but the Bible said it all along. II Corinthians 10:5 says to take every thought captive. Romans 12:2 says that God will renew your mind. Neuroscience shows that it happens almost instantly, once you change perspectives. In my New York Times best selling book,The Life-Changing Art of Self-Brain Surgery, I teach you how. Check the link in my bio to learn more. Share this with a friend who feels overwhelmed, and save it for the next time you need to remember that you already have everything you need to make the switch. II Timothy 1:7 says that you were not given a spirit of fear, but of power, of love, and of a sound mind. Start operating like it today. It will change your life. Follow me for daily connections between neuroscience and scripture.",6,11900,358,14,11,71
7663061249567034654,2026-07-16,2026-07-16T09:52:25+00:00,https://www.tiktok.com/@drleewarren/video/7663061249567034654,"People think they have a willpower problem. Most of the time, what th...","People think they have a willpower problem. Most of the time, what they actually have is an automation problem. As a neurosurgeon, I’ve spent decades watching brains change after injury. As a trauma survivor, I’ve lived through the painstaking work of changing my own. As someone who believes the Bible and modern neuroscience point in the same direction, I’ve learned this: You don’t become what you want. You become what you repeatedly think, believe, and practice. Every thought you rehearse strengthens a pathway. Every reaction you repeat becomes easier to repeat again. Your brain is always wiring itself around whatever your mind repeatedly gives attention to. That’s why motivation fades. That’s why resolutions fail. That’s why you keep ending up in the same emotional place. You don’t rise to your intentions. You default to what you're rehearsing in your neural patterns. The good news? The same neuroplasticity that built the patterns keeping you stuck can build new ones that set you free. You're not doomed to stay the same forever if you're willing to renew your mind (Ephesians 4:23) Transformation isn’t magic. It’s biology directed by belief. It’s neuroscience aligned with truth. It’s Self-Brain Surgery. And the hard truth is: nothing changes until you change something. And you can't change your life until you change your mind. The question isn’t whether your brain is changing. The question is: Who is directing the change? Check out my new book, The Life-Changing Art of Self-Brain Surgery to learn more, and follow me for daily lessons from neuroscience and scripture.  They call me the ""Bible+Brain Guy,"" but I'm not doing this just because I'm a brain surgeon; it's how I got unstuck from PTSD and losing my son. And I want that for you too.  Being unable to change your own life hurts, and changing your mind will get you moving again. Send this to someone who feels like change is impossible, and save it for when you need it again. #selfbrainsurgery #neuroscience #neurosurgery #neurosurgery #thedrleewarrenpodcast",6,12800,659,22,83,230
7662695187143052575,2026-07-15,2026-07-15T10:12:06+00:00,https://www.tiktok.com/@drleewarren/video/7662695187143052575,Unpopular opinion: you are not stuck because of someone or something ...,"Unpopular opinion: you are not stuck because of someone or something outside of you. You're stuck because you keep thinking about the same things from the same perspective. Neuroscience studies show that about 90% of the thoughts you think every day are the same set of things you thought about the day before. And since other studies show that a huge percentage of our automatic thoughts and feelings are negative and/or false, that means you're spending most of your thought life pondering things that are inaccurate, improbable, or otherwise untrue. And since we know that neuroplasticity (the way your brain changes its structure every day)happens mostly in response to what we think about, that means most of the time you're building a brain that's trying to navigate a world based on your worries and fears rather than on what's true and possible for you. That's why you feel stuck, but I have good news: You don't have to stay that way.  You can change your brain from a fear-based survival machine to an opportunity-based ""thrival"" engine. (Yes, that's a made-up word) I call it self-brain surgery, and it starts by implementing II Corinthians 10:5- ""We take every thought captive."" The science is clear: change the character of your thinking and your brain will rewire to show you a more hopeful world. And you can do it, because you have a sound mind (II Timothy 1:7). Check out my latest book, The Life-Changing Art of Self-Brain Surgery to learn more, and follow me for daily lessons from neuroscience and scripture.  They call me the ""Bible+Brain Guy,"" but I'm not doing this just because I'm a brain surgeon; it's how I got unstuck from PTSD and losing my son. And I want that for you too.  Being stuck in your own life hurts, and changing your mind will get you moving again. Send this to someone who's stuck, and save it for when you need it again. #selfbrainsurgery #neuroscience #neurosurgery #thedrleewarrenpodcast #faithandscience",7,5677,211,11,38,86
7658986966561705247,2026-07-05,2026-07-05T10:22:24+00:00,https://www.tiktok.com/@drleewarren/video/7658986966561705247,Brain fact of the day: Your brain isn't fixed in place by your geneti...,"Brain fact of the day: Your brain isn't fixed in place by your genetics, your upbringing, or your experiences. The structure of your brain is constantly changing, mostly in response to your thoughts, beliefs, perspectives, and decisions. That's why I say that brains are built, not born.  Most of why we feel stuck is because we keep thinking about the same things, with the same thoughts, from the same viewpoint, with the same worldview. If you're frustrated by the results you're getting from your own life, maybe it's time to take a lesson from your favorite Internet brain surgeon and do some self-brain surgery.  Because you can't change your life until you change your mind. What kind of brain do you want to build? The Bible said it all along (Romans 12:2, II Corinthians 10:5, Romans 8:6, etc)- your life looks like what you think about the most. It's time to make that work FOR YOU and not against you. Follow me for more daily brain facts, encouragement, and transformative lessons from neuroscience and scripture.  And go to my website or Amazon to learn about my bestselling book, The Life-Changing Art of Self-Brain Surgery. #selfbrainsurgery #neuroscience #thedrleewarrenpodcast #neurosurgery #faithandscience",5,7289,152,10,18,34
7604565979095518495,2026-02-08,2026-02-08T18:40:14+00:00,https://www.tiktok.com/@drleewarren/video/7604565979095518495,It's telling you you're not enough. That you'll never change. That an...,"It's telling you you're not enough. That you'll never change. That anxiety is just ""who you are."" That the past defines your future. But here's the truth: your brain was designed to protect you-- not to tell you the truth. And until you learn to separate the lies from the facts, you'll stay stuck. I'm a neurosurgeon who's spent decades operating on brains. And I'll tell you: the most powerful surgery doesn't happen in the operating room. It happens in your mind. My new book, The Life-Changing Art of Self-Brain Surgery, shows you how to identify the lies, interrupt the patterns, and rewire your brain for freedom. Stop believing the lies. Get the book today.  [Link in comments]",21,53300,1340,39,117,293
7549331730637835551,2025-09-12,2025-09-12T22:23:00+00:00,https://www.tiktok.com/@drleewarren/video/7549331730637835551,99% of people skip this crucial step at the start of their day…,99% of people skip this crucial step at the start of their day…,50,629,49,4,5,6
7536561676238245151,2025-08-09,2025-08-09T12:29:06+00:00,https://www.tiktok.com/@drleewarren/video/7536561676238245151,🧠 You can’t feel well if you don’t fuel well. Neuroscience Nugget: Yo...,"🧠 You can’t feel well if you don’t fuel well. Neuroscience Nugget: Your brain makes about 700 new neurons every day in the hippocampus, but whether they survive and connect depends on what you feed your body and mind. Good nutrition, hydration, and movement boost brain-derived neurotrophic factor (BDNF), your brain’s growth fertilizer. Faith Fact: 1 Corinthians 6:19 reminds us that our bodies are temples of the Holy Spirit. Caring for your brain and body isn’t vanity, it’s stewardship. Don’t commit self-malpractice. Give your brain the fuel it needs to think clearly, choose wisely, and live fully. 🧠 Email the word LETTER to me at contact@drleewarren.com and I'll send you my free weekly self-brain surgery prescriptions! Read by people in 60+ countries every Sunday! 🧠 #selfbrainsurgery #thedrleewarrenpodcast #neuroscience #neurosurgery #neurosurgeon #brainhealth #nutrition",60,548,9,0,0,1
7535040575389650207,2025-08-05,2025-08-05T10:06:50+00:00,https://www.tiktok.com/@drleewarren/video/7535040575389650207,Sometimes the most powerful thing you can do is nothing. A deep breat...,"Sometimes the most powerful thing you can do is nothing. A deep breath. A short prayer. A quiet decision to try again tomorrow. That’s the seventh commandment of #selfbrainsurgery: 👉 “I must stop making an operation out of everything.” 🧠 Neuroscience nugget: Your brain’s stress response system (amygdala + HPA axis) ramps up when you catastrophize or overreact. But calm, mindful pauses re-engage the prefrontal cortex, your decision-making center, and bring clarity back online. 📖 “In repentance and rest is your salvation, in quietness and trust is your strength…” Isaiah 30:15 You don’t have to fix everything right now. You don’t have to figure it all out today. You just have to trust the process, and stop turning every bad moment into a crisis. 🛠️ Self-brain surgery sometimes looks like rest. Healing takes time. Give yourself some grace. #thedrleewarrenpodcast #neuroscience #mentalhealth #faithandscience #hope #resilience #isaiah3015 #brainhealth #healing #graceforyourself #selfbrainsurgery",60,494,15,0,0,3
7533166309165649182,2025-07-31,2025-07-31T08:52:59+00:00,https://www.tiktok.com/@drleewarren/video/7533166309165649182,Feelings are not facts. They’re chemical events in your brain. 🧠 That...,"Feelings are not facts. They’re chemical events in your brain. 🧠 That’s the second commandment of #selfbrainsurgery, and it could change everything. 🧠 Neuroscience nugget: Your limbic system reacts before your thinking brain does. That means your emotions show up fast, but not always accurately. Just because you feel something doesn’t mean it’s true. Learning to evaluate your feelings before reacting is a powerful form of mental and spiritual discipline. 📖 “Search me, God, and know my heart; test me and know my anxious thoughts.” Psalm 139:23 Pause. Reflect. Ask God to help you examine what’s going on before you let your feelings call the shots. Your emotions are real, but they’re not always right. Let your mind, led by truth, guide your brain. That’s self-brain surgery. #thedrleewarrenpodcast #neuroscience #neurosurgeon #mentalhealth #emotionalintelligence #renewyourmind #hope #resilience #brainhealth #faithandscience #feelingsarenotfacts #psalm13923",60,654,45,1,8,3
7529470463207099678,2025-07-21,2025-07-21T09:51:47+00:00,https://www.tiktok.com/@drleewarren/video/7529470463207099678,"This is a high-grade glioma, known as glioblastoma multiforme or GBM....","This is a high-grade glioma, known as glioblastoma multiforme or GBM.  How do you think it was treated: 1. Surgery to remove the tumor 2. Biopsy followed by radiation and chemotherapy  3. Surgery, chemo, and radiation  (Scroll to the bottom for the answer) Glioblastoma is one of the most aggressive brain cancers. It's fast, relentless, and devastating. 💔 I’ve treated it many times, and it never gets easier. 🧠 Median survival is just 12–15 months. 📊 Less than 5% survive 5 years. Treatment usually includes surgery, radiation, and temozolomide, a chemo drug that can help, but it’s not a cure. We’re also seeing hope in things like Tumor Treating Fields, immunotherapy, and clinical trials. 🙏 But here’s what I’ll never forget: I’ve learned more from glioblastoma patients and their families about what really matters—grit, resilience, faith, and hope—than I ever did in medical school. My book ""I've Seen the End of You"" tells many of the stories of these brave patients and their families. July 17 was Glioblastoma awareness day, and I want to remind you about this important disease and the incredible people who are facing it, those who love someone who's fighting it, and all those who are searching for a cure. #glioblastoma #braincancer #temozolomide #neurosurgery #hope #faith #selfbrainsurgery #thedrleewarrenpodcast #neuroscience #neurosurgeon  (This tumor was biopsied using computer guidance, because it is too deep in the brain to remove safely. After the diagnosis was confirmed with biopsy, the patient received fractionated radiotherapy and oral chemotherapy)",50,7295,28,4,2,4
