"Date","Followers","Difference in followers from previous day"
"July 9","undefined","0"
"July 10","undefined","0"
"July 11","undefined","0"
"July 12","undefined","0"
"July 13","undefined","0"
"July 14","undefined","0"
"July 15","undefined","0"
"July 16","undefined","0"
"July 17","undefined","0"
"July 18","undefined","0"
"July 19","undefined","0"
"July 20","undefined","0"
"July 21","undefined","0"
"July 22","undefined","0"
"July 23","undefined","0"
"July 24","undefined","0"
"July 25","undefined","0"
"July 26","undefined","0"
"July 27","undefined","0"
"July 28","undefined","0"
"July 29","undefined","0"
"July 30","undefined","0"
"July 31","undefined","0"
"August 1","undefined","0"
"August 2","undefined","0"
"August 3","undefined","0"
"August 4","undefined","0"
"August 5","undefined","0"
"August 6","undefined","0"
"August 7","undefined","0"
"August 8","undefined","0"
"August 9","undefined","0"
"August 10","undefined","0"
"August 11","undefined","0"
"August 12","undefined","0"
"August 13","undefined","0"
"August 14","undefined","0"
"August 15","undefined","0"
"August 16","undefined","0"
"August 17","undefined","0"
"August 18","undefined","0"
"August 19","undefined","0"
"August 20","undefined","0"
"August 21","undefined","0"
"August 22","undefined","0"
"August 23","undefined","0"
"August 24","undefined","0"
"August 25","undefined","0"
"August 26","undefined","0"
"August 27","undefined","0"
"August 28","undefined","0"
"August 29","undefined","0"
"August 30","undefined","0"
"August 31","undefined","0"
"September 1","undefined","0"
"September 2","undefined","0"
"September 3","undefined","0"
"September 4","undefined","0"
"September 5","undefined","0"
"September 6","undefined","0"
"September 7","undefined","0"
"September 8","undefined","0"
"September 9","undefined","0"
"September 10","undefined","0"
"September 11","undefined","0"
"September 12","undefined","0"
"September 13","undefined","0"
"September 14","undefined","0"
"September 15","undefined","0"
"September 16","undefined","0"
"September 17","undefined","0"
"September 18","undefined","0"
"September 19","undefined","0"
"September 20","undefined","0"
"September 21","undefined","0"
"September 22","undefined","0"
"September 23","undefined","0"
"September 24","undefined","0"
"September 25","undefined","0"
"September 26","undefined","0"
"September 27","undefined","0"
"September 28","undefined","0"
"September 29","undefined","0"
"September 30","undefined","0"
"October 1","undefined","0"
"October 2","undefined","0"
"October 3","undefined","0"
"October 4","undefined","0"
"October 5","undefined","0"
"October 6","undefined","0"
"October 7","undefined","0"
"October 8","undefined","0"
"October 9","undefined","0"
"October 10","undefined","0"
"October 11","undefined","0"
"October 12","undefined","0"
"October 13","undefined","0"
"October 14","undefined","0"
"October 15","undefined","0"
"October 16","undefined","0"
"October 17","undefined","0"
"October 18","undefined","0"
